Time(s),Frame Rate(fps)
0.02,0.41
0.35,0.41
0.69,0.42
1.02,0.42
1.35,0.42
1.69,0.42
2.02,0.41
2.35,0.42
2.69,0.42
3.02,0.42
3.35,0.42
3.69,0.41
4.02,0.42
4.35,0.42
4.69,0.42
5.02,0.42
5.35,0.41
5.69,0.41
6.02,0.42
6.35,0.42
6.69,0.42
7.02,0.42
7.35,0.41
