Time(s),Frame Rate(fps)
0.02,0.77
0.35,0.76
0.69,0.76
1.02,0.75
1.35,0.76
1.69,0.74
2.02,0.74
2.35,0.76
2.69,0.77
3.02,0.76
3.35,0.77
3.69,0.77
4.02,0.77
4.35,0.76
4.69,0.77
5.02,0.76
5.35,0.76
5.69,0.76
6.02,0.77
6.35,0.77
6.69,0.77
7.02,0.76
7.35,0.77
